id,name,absolute_magnitude,estimated_diameter_min,estimated_diameter_max,is_potentially_hazardous,relative_velocity,miss_distance,orbiting_body,has_missing_data,orbital_stability_index,diameter_diff,diameter_velocity_ratio,energy_proxy,proximity_risk,approach_month,approach_day,close_approach_date,close_approach_date_display,size_uncertainty
54496017,(2024 UY4),26.48,0.0134448195,0.0300635304,False,4.8372521323,26900700.427637056,Earth,False,1.7981881718330045e-07,0.0166187109,0.006215001736059083,0.7034567940932324,0.6401913784146654,3,14,2025-03-14,2025-03-14,2.236067981425857
54496838,(2024 UX10),26.51,0.0132603497,0.0296510433,False,20.6843749343,70185458.40202703,Earth,False,2.9471026342548776e-07,0.0163906936,0.0014334996050971288,12.686002183417186,0.061238828672892515,3,14,2025-03-14,2025-03-14,2.2360679748890786
54520792,(2025 DS6),27.063,0.0102790973,0.0229847603,False,2.7227565079,7470154.095231307,Earth,False,3.644846509442309e-07,0.012705663,0.008441724492553917,0.17039529099245235,0.900083425141086,3,14,2025-03-14,2025-03-14,2.2360679765138523
54521615,(2025 DZ24),24.761,0.0296725573,0.0663498551,False,7.2924419135,17988675.611207113,Earth,False,4.053907064151371e-07,0.036677297799999994,0.009098441357094807,3.528465990508699,0.7593936041470316,3,14,2025-03-14,2025-03-14,2.236067974498443
54521723,(2025 DK29),24.447,0.0342890124,0.0766725626,False,1.6926063105,26258646.296033338,Earth,False,6.445900871728057e-08,0.042383550199999995,0.04529852105853885,0.21966046073420195,0.6487791329490479,3,14,2025-03-14,2025-03-14,2.236067977274259
54522919,(2025 ES2),27.537,0.0082633277,0.0184773625,False,8.8636277446,2195060.781310037,Earth,False,4.037987385164837e-06,0.0102140348,0.002084627539920885,1.4516536004909002,0.9706401029912303,3,14,2025-03-14,2025-03-14,2.2360679826360994
3717075,(2015 FE345),22.95,0.0683211199,0.1527706684,False,8.3471359512,59106593.72439278,Earth,False,1.4122173898434633e-07,0.0844495485,0.018302166071469988,10.644247218415748,0.20942348427742252,3,15,2025-03-15,2025-03-15,2.236067977568383
54016206,(2020 FO),25.9,0.0175612318,0.0392681082,False,20.5819347367,5121209.509825131,Earth,False,4.018959719810954e-06,0.0217068764,0.001907891979172413,16.634600396032152,0.9315015852640479,3,15,2025-03-15,2025-03-15,2.2360679847070863
54087576,(2020 VN1),27.93,0.0068953287,0.0154184238,False,17.3209058824,74013144.2279831,Earth,False,2.3402472713557903e-07,0.008523095100000001,0.000890162668435654,4.625739614929947,0.010041858370809034,3,15,2025-03-15,2025-03-15,2.2360679919435893
54342584,(2023 EC),25.53,0.0208235599,0.0465628955,False,10.985292795,12500899.199984074,Earth,False,8.787602091067173e-07,0.0257393356,0.004238657664290322,5.619054606052518,0.8327950113483875,3,15,2025-03-15,2025-03-15,2.2360679789434084
54349267,(2023 FN),24.46,0.0340843469,0.0762149166,False,22.1340488113,41181691.08677518,Earth,False,5.374730426844463e-07,0.0421305697,0.0034433337185508658,37.338915981460616,0.44917688874515294,3,15,2025-03-15,2025-03-15,2.2360679764117766
