id,name,absolute_magnitude,estimated_diameter_min,estimated_diameter_max,is_potentially_hazardous,relative_velocity,miss_distance,orbiting_body,close_approach_date,approach_month,approach_day,close_approach_date_display,has_missing_data,size_uncertainty,diameter_diff,diameter_velocity_ratio,energy_proxy,proximity_risk,orbital_stability_index,predicted_hazard,hazard_probability
54505727,(2024 XD11),28.09,0.0064055286,0.0143231974,False,1.4092439415,20046190.605637535,Earth,2025-03-16,3,16,2025-03-16,False,1.4953487821911502,0.0079176688,0.010163745947883501,5.835690958731586e-06,0.7318734421338302,3.5398264345057613e-08,False,0.0
54522530,(2025 EC1),26.353,0.0142545981,0.0318742503,False,6.4928900002,3281813.879613983,Earth,2025-03-16,3,16,2025-03-16,False,1.495348780199918,0.017619652199999995,0.004909100616061288,0.0013651992051476583,0.9561043054808201,4.6929724778176126e-08,False,0.0
3553062,(2010 XA11),26.1,0.0160160338,0.0358129403,False,16.2789116817,26025592.875647705,Earth,2025-03-17,3,17,2025-03-17,False,1.4953487810806276,0.0197969065,0.002199959125047607,0.012172244581897472,0.6518963242716407,2.360336929098417e-09,False,0.0
3714001,(2015 FN35),23.73,0.0477040198,0.1066694311,False,19.8101606607,41798940.08139867,Earth,2025-03-17,3,17,2025-03-17,False,1.4953487814119013,0.058965411300000006,0.005384581827830103,0.47631683550330617,0.4409209137556601,1.207665703763121e-09,False,0.0
3831218,(2018 TD2),26.5,0.0133215567,0.0297879063,False,20.7039822274,73826392.17115074,Earth,2025-03-17,3,17,2025-03-17,False,1.4953487800335477,0.0164663496,0.001438752505330988,0.011329942598386652,0.012539748726037248,6.542360459632465e-10,False,0.0
3976545,(2020 AB2),27.0,0.0105816886,0.023661375,False,6.8972264046,48738059.70606939,Earth,2025-03-17,3,17,2025-03-17,False,1.4953487803890757,0.013079686399999998,0.003430563767519565,0.0006301862164495917,0.34810715695833094,2.974796639530749e-09,False,0.0
54248634,(2022 DX3),25.38,0.0223128464,0.0498930414,False,15.0917565033,53070093.94166674,Earth,2025-03-17,3,17,2025-03-17,False,1.4953487823914198,0.027580195,0.0033059797505406523,0.02828782228415245,0.29016430631904455,1.2485626930602397e-09,False,0.0
54342587,(2023 EF),26.18,0.0154367182,0.0345175513,False,4.3535741662,19128895.317364372,Earth,2025-03-17,3,17,2025-03-17,False,1.4953487824188798,0.0190808331,0.007928554787922336,0.0007794923038942465,0.7441426673961287,1.200781980710991e-08,False,0.0
54505035,(2024 XA8),22.86,0.0712122941,0.1592355304,False,8.8949605381,14996847.254329775,Earth,2025-03-17,3,17,2025-03-17,False,1.4953487810272665,0.08802323629999999,0.01790176917794549,0.31945374800642795,0.7994106156000865,7.496456170859566e-09,False,0.02
54523982,(2025 FN),27.698,0.0076728194,0.0171569458,False,13.2621963977,2199706.408524804,Earth,2025-03-17,3,17,2025-03-17,False,1.4953487830742165,0.0094841264,0.0012936730301306236,0.0008882819718108583,0.9705779656974806,3.427834337577099e-08,False,0.0
